2005040517   120.50,  25.00,   4.92,  310.88
2005040520   120.50,  25.00,   3.93,  313.86
2005040523   120.50,  25.00,   2.72,  277.18
2005040602   120.50,  25.00,   2.44,  241.65
2005040605   120.50,  25.00,   2.23,  232.67
2005040608   120.50,  25.00,   3.08,  295.40
2005040611   120.50,  25.00,   0.82,  296.88
2005040614   120.50,  25.00,   2.23,  290.47
2005040617   120.50,  25.00,   0.55,  262.75
2005040620   120.50,  25.00,   2.82,  111.20
2005040623   120.50,  25.00,   2.17,  137.80
2005040702   120.50,  25.00,   1.64,  262.31
2005040705   120.50,  25.00,   1.97,  246.04
2005040708   120.50,  25.00,   2.45,  230.13
2005040711   120.50,  25.00,   3.89,  240.07
2005040714   120.50,  25.00,   4.70,  235.57
2005040717   120.50,  25.00,   4.44,  221.08
2005040720   120.50,  25.00,   3.39,  168.79
2005040723   120.50,  25.00,   3.61,  158.05
2005040802   120.50,  25.00,   2.90,  208.15
2005040805   120.50,  25.00,   3.30,  214.37
2005040808   120.50,  25.00,   2.39,  227.55
2005040811   120.50,  25.00,   2.70,  266.38
2005040814   120.50,  25.00,   4.49,  258.16
2005040817   120.50,  25.00,   3.53,  219.83
2005040820   120.50,  25.00,   2.19,  189.46
2005040823   120.50,  25.00,   3.17,  182.17
2005040902   120.50,  25.00,   4.08,  210.15
2005040905   120.50,  25.00,   4.01,  206.82
2005040908   120.50,  25.00,   3.85,  218.36
2005040911   120.50,  25.00,   5.66,  240.49
2005040914   120.50,  25.00,   7.03,  238.84
2005040917   120.50,  25.00,   7.60,  242.22
2005040920   120.50,  25.00,   7.28,  212.77
2005040923   120.50,  25.00,   7.36,  206.81
2005041002   120.50,  25.00,   7.75,  220.39
2005041005   120.50,  25.00,   7.28,  222.10
2005041008   120.50,  25.00,   6.76,  219.36
2005041011   120.50,  25.00,   4.13,  290.98
2005041014   120.50,  25.00,   8.26,   46.82
2005041017   120.50,  25.00,  10.18,   58.82
2005041020   120.50,  25.00,   9.84,   69.17
2005041023   120.50,  25.00,  10.56,   57.33
2005041102   120.50,  25.00,   9.12,   63.63
2005041105   120.50,  25.00,   7.65,   55.81
2005041108   120.50,  25.00,   6.79,   35.70
2005041111   120.50,  25.00,   7.65,   21.97
2005041114   120.50,  25.00,   5.71,   11.82
2005041117   120.50,  25.00,   4.98,   13.48
2005041120   120.50,  25.00,   4.25,   35.04
2005041123   120.50,  25.00,   4.40,   48.59
2005041202   120.50,  25.00,   3.16,   33.89
2005041205   120.50,  25.00,   4.52,   30.03
2005041208   120.50,  25.00,   5.29,   36.85
2005041211   120.50,  25.00,   6.91,   11.52
2005041214   120.50,  25.00,   7.46,   15.15
2005041217   120.50,  25.00,   7.63,   27.47
2005041220   120.50,  25.00,   7.77,   30.62
2005041223   120.50,  25.00,   9.20,   35.35
2005041302   120.50,  25.00,   9.97,   38.40
2005041305   120.50,  25.00,  10.46,   37.78
2005041308   120.50,  25.00,  10.01,   41.11
2005041311   120.50,  25.00,  10.19,   39.47
2005041314   120.50,  25.00,   9.15,   44.65
2005041317   120.50,  25.00,   9.73,   46.33
2005041320   120.50,  25.00,   9.87,   65.64
2005041323   120.50,  25.00,   8.91,   75.84
2005041402   120.50,  25.00,   7.89,   74.34
2005041405   120.50,  25.00,   8.03,   73.12
2005041408   120.50,  25.00,   6.61,   69.92
2005041411   120.50,  25.00,   6.69,   43.12
2005041414   120.50,  25.00,   8.27,   39.65
2005041417   120.50,  25.00,   9.11,   61.41
2005041420   120.50,  25.00,   7.68,   69.25
2005041423   120.50,  25.00,   7.36,   76.57
